"carat","cut","color","clarity","depth","table","price","x","y","z"
0.38,"Very Good","F","VS1",60.2,58,871,4.71,4.73,2.84
0.51,"Ideal","F","VS1",61.9,56,1744,5.11,5.17,3.18
0.43,"Premium","G","VS2",60.8,59,867,4.86,4.91,2.97
1.02,"Very Good","H","VS1",62.8,59,5598,6.34,6.47,4.02
0.72,"Ideal","F","VS1",61.7,57,2829,5.77,5.74,3.55
0.97,"Good","J","VS2",64.3,58,3129,6.25,6.22,4.01
0.32,"Very Good","E","SI1",59.9,57,584,4.47,4.49,2.68
0.32,"Very Good","H","VS2",60.6,58,505,4.44,4.47,2.7
0.71,"Premium","D","VS2",62.4,59,3161,5.73,5.68,3.56
1.02,"Very Good","E","SI1",59.2,56,5553,6.57,6.63,3.91
0.49,"Very Good","H","VVS2",62.3,57,1588,5.02,5.05,3.14
0.35,"Premium","H","SI1",61.3,55,647,4.58,4.55,2.8
0.34,"Premium","G","VVS1",61.5,59,1122,4.5,4.47,2.76
0.51,"Ideal","H","IF",62.1,55,1905,5.14,5.2,3.21
0.31,"Ideal","E","VVS1",61.3,56,865,4.38,4.4,2.69
0.42,"Ideal","H","SI2",62,54,625,4.81,4.83,2.99
0.58,"Ideal","E","VS2",61.9,57,1984,5.37,5.33,3.31
0.52,"Ideal","E","VS2",61.1,55,1815,5.27,5.2,3.2
1.5,"Very Good","F","VS1",61.6,58,15022,7.35,7.43,4.55
1.02,"Ideal","I","SI2",61.8,57,4118,6.44,6.46,3.99
0.32,"Ideal","E","VS1",59.9,55,758,4.46,4.49,2.68
0.58,"Ideal","I","SI1",61.4,55,1193,5.37,5.42,3.31
0.9,"Good","D","SI1",64.4,60,4117,5.95,6,3.85
0.3,"Premium","D","VS2",61.9,58,710,4.28,4.32,2.66
0.55,"Ideal","G","VVS2",61.2,55.8,2064,5.27,5.33,3.24
0.71,"Good","I","VS1",63.3,56,2306,5.65,5.69,3.59
1.5,"Good","E","SI2",63.9,58,9072,7.26,7.21,4.62
0.78,"Very Good","F","VS1",61.7,55,3744,5.89,5.94,3.65
1.04,"Ideal","F","SI1",61.4,56,5663,6.52,6.58,4.02
2.1,"Premium","G","SI2",60.9,57.4,16112,8.17,8.27,5
1.04,"Premium","G","VS2",62.5,58,6290,6.47,6.43,4.03
0.43,"Ideal","H","SI1",62.3,56,716,4.83,4.86,3.02
0.32,"Ideal","I","VVS2",61.7,56,540,4.4,4.42,2.72
0.32,"Ideal","G","VVS2",62.1,57,730,4.4,4.42,2.74
1,"Premium","H","SI2",62.7,58,4200,6.33,6.31,3.96
0.31,"Ideal","G","IF",61.9,54,891,4.35,4.37,2.7
0.37,"Ideal","F","SI1",60.2,53,844,4.74,4.7,2.84
1.25,"Good","F","VS2",63.9,58,6440,6.76,6.71,4.31
1.51,"Ideal","I","VS2",62.3,57,9297,7.28,7.37,4.56
1.01,"Premium","G","VS2",62.9,58,6108,6.39,6.3,3.99
0.31,"Premium","H","SI2",59.5,59,390,4.39,4.45,2.63
0.35,"Very Good","G","VS1",62.5,55,706,4.51,4.55,2.83
0.4,"Premium","E","VS1",62.8,59,1125,4.67,4.63,2.92
1.29,"Premium","H","SI2",60.1,58,5924,7.02,6.95,4.2
1.02,"Good","F","SI2",63.8,53,4162,6.37,6.46,4.09
0.43,"Ideal","F","IF",62,56,1580,4.87,4.84,3.01
0.29,"Ideal","F","VS1",61.6,56,555,4.26,4.31,2.64
0.43,"Good","E","SI2",63.6,55,669,4.8,4.83,3.06
0.25,"Ideal","F","VS2",61.6,55,535,4.06,4.08,2.51
1.06,"Very Good","F","SI1",63.4,58,5520,6.51,6.42,4.1
0.56,"Ideal","D","VS2",60.9,56,2066,5.36,5.31,3.25
0.7,"Good","G","VVS2",61.1,61,3046,5.67,5.69,3.47
1.16,"Premium","G","SI1",63,58,5366,6.7,6.66,4.21
1.07,"Ideal","E","SI2",61.4,57,5393,6.62,6.57,4.05
0.23,"Very Good","E","VVS1",61.8,59,530,3.9,3.93,2.42
0.62,"Very Good","F","VS2",59.8,58,2041,5.55,5.59,3.33
0.31,"Ideal","D","VVS1",62.3,54,949,4.36,4.4,2.73
1.14,"Premium","D","SI1",60.5,59,5809,6.79,6.73,4.09
1.21,"Premium","G","VS1",62.7,58,8774,6.85,6.76,4.27
0.7,"Very Good","G","SI1",63.6,58,2209,5.61,5.65,3.58
0.26,"Very Good","E","SI1",62,54,384,4.08,4.11,2.54
0.33,"Ideal","H","VS2",60.7,55,551,4.48,4.51,2.73
2.12,"Premium","H","SI2",61.5,59,13307,8.26,8.21,5.06
0.32,"Ideal","F","VS2",61.2,56,828,4.44,4.41,2.71
0.31,"Premium","G","IF",61.4,59,988,4.39,4.34,2.68
0.31,"Good","H","VS2",63.1,57,489,4.28,4.31,2.71
0.4,"Ideal","G","SI2",62.5,53,723,4.75,4.79,2.98
1.52,"Premium","H","SI2",58.7,62,8127,7.6,7.53,4.44
0.32,"Premium","F","VS2",61.3,60,828,4.4,4.37,2.69
0.55,"Ideal","F","SI1",62.4,55,1410,5.23,5.28,3.28
1.57,"Premium","I","VS2",62.6,58,9847,7.4,7.36,4.62
0.71,"Ideal","G","SI1",61.5,57,2345,5.74,5.78,3.54
0.42,"Ideal","E","SI1",62.1,55,743,4.79,4.81,2.98
1.52,"Ideal","H","VVS2",61.8,58,12123,7.41,7.35,4.56
0.59,"Ideal","I","VVS1",61,55,1742,5.43,5.48,3.33
1.13,"Ideal","I","SI1",61.9,57,5149,6.68,6.66,4.13
0.35,"Premium","E","VVS1",61,58,1044,4.52,4.56,2.77
0.43,"Ideal","H","VVS1",61.7,56,987,4.86,4.9,3.01
0.31,"Ideal","G","IF",61.5,57,840,4.35,4.37,2.68
1.07,"Premium","D","IF",60.9,58,18279,6.67,6.57,4.03
0.31,"Ideal","G","VVS1",61.3,60,710,4.33,4.38,2.67
0.57,"Very Good","F","SI2",63.5,56,1397,5.28,5.25,3.34
0.3,"Very Good","E","VS1",58.4,62,640,4.37,4.43,2.57
0.54,"Ideal","G","VVS1",61.6,55,2041,5.22,5.24,3.22
0.72,"Ideal","I","VS2",60.3,57,3391,5.82,5.86,3.52
2.05,"Premium","F","SI2",60.2,59,18784,8.28,8.33,5
1.02,"Good","F","SI1",63.5,57,4594,6.35,6.4,4.05
1.02,"Good","G","VS1",64.3,57,5951,6.28,6.34,4.06
0.23,"Very Good","E","VVS2",60.8,61,505,3.91,3.94,2.39
1.01,"Premium","H","VS2",62.6,60,4745,6.39,6.36,3.99
0.34,"Premium","D","VS2",59.3,59,687,4.55,4.59,2.71
1.01,"Good","D","VS1",64.1,55,8339,6.29,6.38,4.06
0.71,"Premium","G","SI2",62,55,2362,5.77,5.71,3.56
2.01,"Very Good","J","SI1",63.4,57,11566,7.97,7.89,5.03
0.41,"Premium","F","SI1",62.6,55,969,4.78,4.74,2.98
0.7,"Very Good","F","VS2",62.1,58,2400,5.68,5.72,3.54
1.04,"Very Good","I","SI1",62,57,4290,6.47,6.5,4.02
0.91,"Premium","D","SI2",62.2,59,4051,6.23,6.19,3.86
0.77,"Fair","I","VVS2",59.2,66,2292,5.96,5.9,3.51
1.13,"Fair","J","SI1",64.9,55,4123,6.49,6.56,4.24
0.29,"Very Good","F","VVS2",60.8,63,592,4.28,4.31,2.61
0.28,"Very Good","E","VVS1",60.9,60,612,4.25,4.26,2.59
1,"Good","G","SI1",62.2,63,5483,6.36,6.41,3.97
0.42,"Very Good","G","VS1",60.6,58,921,4.82,4.95,2.96
0.3,"Ideal","F","IF",61.8,55,873,4.31,4.33,2.67
0.3,"Very Good","H","VS1",62.4,60,491,4.23,4.29,2.66
1.01,"Ideal","E","SI1",62.6,57,5599,6.43,6.38,4.01
1.11,"Ideal","H","SI2",61.3,60,4520,6.68,6.66,4.09
1.22,"Premium","G","IF",59.2,58,11104,7.02,6.97,4.14
1.14,"Very Good","D","IF",59.1,58,18112,6.83,6.9,4.06
0.38,"Ideal","E","VS2",61.9,57,751,4.61,4.66,2.87
0.72,"Fair","E","VS2",64.4,59,2691,5.67,5.64,3.64
0.88,"Ideal","F","SI1",62.3,53,4054,6.12,6.15,3.82
0.78,"Very Good","F","SI2",62.4,59,2586,5.86,5.91,3.67
0.73,"Premium","H","SI1",62.2,57,2107,5.8,5.77,3.6
0.41,"Ideal","G","IF",62.3,55,1367,4.75,4.78,2.97
0.51,"Very Good","F","SI1",61.7,55,1320,5.14,5.16,3.18
1.06,"Very Good","F","VS2",61.5,58,7706,6.53,6.57,4.03
0.4,"Very Good","I","VS1",61.7,57,741,4.71,4.73,2.91
2.04,"Premium","G","SI2",62.1,59,14900,8.14,8.06,5.03
0.71,"Premium","E","VS2",62.2,59,3062,5.71,5.61,3.52
0.35,"Ideal","E","VVS1",61.8,56,967,4.53,4.5,2.79
0.59,"Premium","H","SI1",62.4,58,1265,5.42,5.35,3.36
0.75,"Good","G","VVS1",58.4,56,3188,5.98,6.06,3.52
0.5,"Very Good","G","VS1",61.9,59,1603,5.06,5.08,3.14
1.5,"Very Good","E","SI2",63.3,57,7728,7.28,7.23,4.59
0.41,"Good","D","VS2",63.4,54,873,4.74,4.79,3.02
0.44,"Ideal","I","VVS2",60.8,56,912,4.9,4.93,2.99
0.31,"Good","G","VVS1",57.5,62,849,4.47,4.54,2.59
1.25,"Good","F","SI2",59,61,6032,7.01,7.06,4.15
1.22,"Ideal","I","SI1",61.7,55.2,6062,6.84,6.9,4.24
1.52,"Very Good","F","SI1",61.4,59,11776,7.39,7.46,4.56
0.72,"Ideal","H","VVS1",61.8,55,3180,5.74,5.78,3.56
1.5,"Good","G","VS2",63.6,60,12787,7.24,7.2,4.59
0.31,"Ideal","G","VS2",59.1,57,698,4.48,4.45,2.64
1.01,"Very Good","F","SI2",61,60,5067,6.42,6.46,3.93
0.6,"Ideal","H","VVS2",62.2,55,1931,5.38,5.43,3.36
1.17,"Premium","F","SI2",59.6,60,4324,6.88,6.85,4.09
0.24,"Ideal","F","VVS2",61.7,55,678,3.99,4.02,2.47
1.51,"Very Good","I","VS2",61.6,57,9185,7.28,7.34,4.5
0.58,"Ideal","F","VS1",60.3,57,2227,5.47,5.44,3.29
1.05,"Ideal","G","VS1",62.2,57,7357,6.49,6.51,4.04
0.7,"Ideal","E","SI1",62.4,55,2407,5.69,5.64,3.54
0.36,"Ideal","E","VS1",62,56,1094,4.59,4.57,2.84
1,"Premium","G","VS1",62.9,60,6989,6.36,6.29,3.98
0.56,"Ideal","E","VS1",60.8,55,1791,5.37,5.32,3.25
0.33,"Ideal","E","VVS1",60.7,57,906,4.46,4.5,2.72
1.52,"Premium","G","VS1",62.4,58,13034,7.37,7.3,4.58
0.38,"Premium","D","VS1",61.2,58,1140,4.68,4.63,2.85
0.71,"Premium","E","SI2",59,60,2410,5.9,5.87,3.47
1.05,"Ideal","G","VS1",62.2,53,7270,6.51,6.55,4.06
1.57,"Ideal","F","SI1",62.4,56,11523,7.46,7.41,4.64
0.3,"Premium","D","SI1",62.4,60,709,4.26,4.23,2.65
0.31,"Premium","E","VS2",60.8,55,930,4.42,4.39,2.68
1.5,"Premium","I","SI2",59.5,62,7140,7.46,7.39,4.42
0.34,"Ideal","I","IF",61.3,55,695,4.52,4.55,2.78
2.32,"Premium","J","SI2",59,59,14666,8.69,8.64,5.11
0.41,"Ideal","F","SI1",61.6,57,705,4.78,4.8,2.95
0.51,"Premium","D","SI1",63,59,1574,5.11,5.05,3.2
0.53,"Good","G","VS2",63.4,58,1395,5.13,5.16,3.26
0.75,"Good","I","VVS1",63.9,61,2381,5.7,5.67,3.63
0.23,"Very Good","F","VVS1",62.8,54,583,3.92,3.94,2.47
1.02,"Ideal","F","VS2",62.7,54,6597,6.5,6.42,4.05
0.5,"Ideal","E","VS1",62.7,57,1745,5.04,5.11,3.18
0.52,"Ideal","E","SI1",60.8,55,1737,5.2,5.24,3.18
0.5,"Premium","F","I1",60.5,60,770,5.15,5.07,3.1
0.41,"Premium","E","VS1",61.9,59,1079,4.77,4.8,2.96
0.32,"Premium","E","SI1",61.2,58,672,4.42,4.37,2.69
0.77,"Ideal","H","SI1",61.3,56,3089,5.87,5.91,3.61
1.03,"Ideal","D","SI1",61.6,55,5804,6.49,6.53,4.01
1.6,"Premium","H","VS1",62.5,58,12084,7.47,7.37,4.64
0.73,"Very Good","E","SI1",60.2,60,2564,5.81,5.86,3.51
0.53,"Ideal","G","VS1",61.6,55.7,1772,5.21,5.24,3.22
0.28,"Ideal","E","VVS1",61.2,54,787,4.24,4.26,2.6
0.33,"Ideal","J","SI1",61.1,56,403,4.49,4.55,2.76
0.7,"Very Good","H","VVS1",59.2,60,2893,5.87,5.78,3.45
0.54,"Ideal","G","IF",61.5,56,2177,5.28,5.25,3.24
1.03,"Premium","H","VS2",61,58,5579,6.53,6.46,3.96
0.57,"Premium","I","VS1",61.6,58,1212,5.33,5.28,3.27
0.34,"Ideal","F","VVS1",61.4,55,919,4.52,4.54,2.78
0.3,"Premium","E","VS2",62.3,58,844,4.32,4.28,2.68
1.06,"Ideal","G","VVS2",61,57,7900,6.55,6.57,4
1.02,"Ideal","H","SI1",61.8,57,4558,6.48,6.41,3.98
1.01,"Premium","G","SI1",62.7,59,4808,6.41,6.35,4
0.4,"Ideal","G","VVS2",61.4,53,883,4.73,4.81,2.93
1.24,"Ideal","J","VS2",61.7,55,5412,6.91,6.96,4.28
0.94,"Ideal","E","SI2",61.6,57,4972,6.29,6.31,3.88
0.39,"Very Good","F","SI1",60,57,704,4.76,4.8,2.86
0.91,"Very Good","E","SI1",60.5,61,4211,6.19,6.23,3.76
0.75,"Ideal","E","VS2",61.7,56,3206,5.84,5.86,3.61
0.73,"Ideal","E","SI1",62.7,55,2852,5.7,5.79,3.6
0.39,"Ideal","F","VVS1",62.3,55,1124,4.67,4.7,2.92
0.33,"Ideal","D","SI2",61.3,56,492,4.45,4.49,2.74
0.33,"Good","I","SI1",63.6,53,557,4.43,4.4,2.81
0.23,"Good","F","VS2",61,57,442,3.97,4.01,2.44
1.29,"Good","D","SI2",57.9,59,6140,7.22,7.18,4.17
0.38,"Ideal","G","VS2",59.5,58,721,4.75,4.77,2.83
0.33,"Premium","I","VS2",60.6,58,594,4.47,4.44,2.7
0.57,"Ideal","G","VS1",62.3,53.7,1837,5.32,5.35,3.32
0.79,"Very Good","E","VVS1",63.1,60,3796,5.88,5.84,3.7
0.97,"Premium","I","VS2",62.2,56,3948,6.34,6.29,3.94
1,"Premium","I","VS2",62.6,59,4155,6.33,6.28,3.95
1.2,"Ideal","I","VS2",62.5,56,5884,6.66,6.74,4.19
0.3,"Premium","D","SI1",62.2,58,709,4.31,4.28,2.67
0.31,"Good","D","SI2",63.7,58,593,4.3,4.27,2.73
1.66,"Premium","E","SI2",62.6,58,10553,7.53,7.48,4.7
1,"Ideal","F","VVS2",61.3,53,10577,6.44,6.48,3.96
1,"Premium","G","IF",61.4,59,7822,6.47,6.39,3.95
0.57,"Premium","E","VS2",61.9,60,2069,5.35,5.31,3.3
0.3,"Ideal","D","SI1",61,57,552,4.29,4.33,2.63
0.6,"Very Good","H","SI1",60.4,63,1378,5.45,5.41,3.28
0.9,"Ideal","E","SI2",62,55,3662,6.15,6.23,3.84
1.2,"Ideal","J","SI2",62.5,57,4516,6.8,6.74,4.23
1.7,"Premium","H","VS2",59,58,10333,7.77,7.72,4.57
0.32,"Ideal","D","SI2",62.4,54,477,4.38,4.4,2.74
1.14,"Premium","I","SI1",60.4,60,4596,6.78,6.73,4.08
1.1,"Very Good","E","SI2",63.3,56,4140,6.58,6.53,4.15
0.91,"Good","F","VS1",63.5,56,4823,6.14,6.18,3.91
0.37,"Good","H","VS2",63.7,55,584,4.54,4.56,2.9
0.53,"Ideal","E","SI2",60.9,57,1315,5.23,5.21,3.18
0.33,"Very Good","E","IF",61.8,55,957,4.47,4.52,2.78
0.33,"Premium","F","VS2",62.4,58,666,4.37,4.41,2.74
0.42,"Ideal","D","VVS2",62.1,55,1326,4.78,4.81,2.98
0.76,"Premium","F","IF",60.6,60,4223,5.85,5.89,3.56
1.51,"Ideal","H","SI1",61.9,57,7678,7.4,7.33,4.56
1.02,"Ideal","G","VS2",60.5,57,6356,6.51,6.55,3.95
0.72,"Ideal","F","VS2",62.1,54,2989,5.76,5.8,3.59
1.22,"Ideal","H","VVS2",61.8,57,8014,6.85,6.89,4.25
0.3,"Ideal","I","VS1",62.5,57,473,4.29,4.32,2.69
1.01,"Very Good","E","SI1",63.1,58,5226,6.4,6.31,4.01
0.31,"Ideal","G","VVS1",61.6,57,789,4.34,4.36,2.68
1,"Very Good","H","SI2",63.7,58,4395,6.31,6.35,4.03
0.51,"Premium","G","SI2",62.5,56,1026,5.12,5.09,3.19
1.58,"Ideal","G","SI1",62.2,55,11927,7.44,7.5,4.65
0.71,"Ideal","E","VS2",62.1,55,3304,5.72,5.75,3.56
0.32,"Premium","G","IF",59.4,59,1020,4.51,4.48,2.67
0.43,"Ideal","G","IF",62.1,54,1433,4.83,4.87,3.01
0.31,"Premium","H","VS1",61.5,61,698,4.34,4.31,2.66
0.36,"Premium","G","VS1",62.3,59,726,4.5,4.55,2.82
1.2,"Premium","E","VS2",62.7,59,9139,6.7,6.67,4.19
0.93,"Very Good","J","VS2",61.1,59,3180,6.32,6.34,3.87
0.45,"Ideal","H","SI1",61.3,55,790,4.96,4.99,3.05
1.71,"Ideal","H","VS2",62.5,57,13445,7.59,7.63,4.76
0.41,"Premium","G","VS2",59.9,59,1061,4.86,4.82,2.9
2.21,"Premium","G","SI2",62.4,60,17525,8.34,8.29,5.19
1.22,"Premium","G","VVS2",62,58,10111,6.9,6.85,4.26
0.61,"Ideal","G","VS1",62.6,55,2309,5.46,5.43,3.41
0.31,"Good","D","SI2",63.1,54,462,4.33,4.38,2.75
0.73,"Premium","F","VS1",60.7,61,3211,5.79,5.75,3.5
0.87,"Ideal","D","SI2",61.4,54,4012,6.15,6.2,3.79
0.51,"Good","D","SI1",63.4,59,1193,5.07,5.02,3.2
1.52,"Premium","G","SI1",62.2,58,8512,7.39,7.33,4.58
1.71,"Ideal","I","VVS2",61.9,57,13660,7.62,7.67,4.73
1.2,"Ideal","H","SI1",61.3,57,6675,6.81,6.85,4.19
0.72,"Ideal","I","VS2",61.6,55,2312,5.76,5.78,3.55
0.31,"Very Good","E","VS2",62.9,56,680,4.29,4.33,2.71
0.28,"Very Good","F","VVS2",61.8,60,596,4.16,4.19,2.58
0.36,"Ideal","D","VS2",62.5,55,773,4.55,4.57,2.85
0.7,"Fair","F","SI1",65.9,59,2167,5.53,5.49,3.63
1.29,"Premium","F","VS1",59.3,60,10437,7.14,7.1,4.22
0.7,"Good","D","SI1",64.2,60,2318,5.62,5.59,3.6
0.91,"Very Good","F","VS2",62.1,58,4917,6.19,6.24,3.86
1.01,"Very Good","E","SI1",62.3,60,5224,6.36,6.39,3.97
0.9,"Good","F","VS2",62.6,57,4466,6.07,6.19,3.84
1.2,"Very Good","F","VS1",62.9,57,9586,6.73,6.78,4.25
0.34,"Ideal","F","VS2",62.1,56,726,4.48,4.51,2.79
1.5,"Ideal","G","SI2",61.4,56,8736,7.38,7.34,4.52
0.55,"Ideal","E","VS2",61.5,57,1665,5.25,5.29,3.24
1.04,"Very Good","E","SI1",62.8,59,5689,6.46,6.41,4.04
0.31,"Ideal","D","SI2",62.8,53,593,4.37,4.35,2.74
2.04,"Premium","H","SI1",63,58,18115,8.1,8.03,5.08
1.2,"Very Good","F","SI1",62.7,58,6973,6.74,6.72,4.22
0.3,"Ideal","H","VS1",62.2,57,526,4.28,4.3,2.67
0.32,"Ideal","D","VS2",61.9,55,758,4.41,4.44,2.74
2.06,"Very Good","F","I1",58.7,61,9789,8.31,8.33,4.88
0.3,"Very Good","G","VS1",62.5,55,605,4.25,4.32,2.68
0.82,"Fair","H","SI1",64.9,58,3057,5.82,5.77,3.76
2.02,"Very Good","H","SI1",63.4,60,17672,7.96,8.04,5.07
1.01,"Very Good","G","VS1",62.3,60,6368,6.35,6.49,4
1.61,"Very Good","G","SI1",62.6,56,12028,7.44,7.54,4.69
0.4,"Premium","D","VS1",62.1,58,1123,4.7,4.73,2.93
1.28,"Good","J","SI1",63.4,59,4878,6.84,6.89,4.35
0.9,"Premium","J","VVS1",62,58,3617,6.19,6.11,3.81
0.3,"Ideal","G","VS2",60.8,57,491,4.33,4.38,2.65
0.9,"Premium","G","SI1",60.6,57,4455,6.28,6.2,3.78
0.3,"Premium","E","IF",61.9,58,1097,4.3,4.26,2.65
0.71,"Ideal","G","SI1",61.5,55,3061,5.75,5.79,3.55
0.51,"Ideal","I","VVS2",61.6,54,1274,5.15,5.18,3.18
0.57,"Very Good","G","SI2",60.5,56,1171,5.41,5.44,3.28
0.53,"Ideal","G","VS2",60.4,57,1607,5.27,5.23,3.17
1,"Premium","E","VS1",61.1,60,7588,6.43,6.41,3.92
1.12,"Ideal","H","VS2",61.8,55,6110,6.64,6.7,4.12
0.54,"Premium","F","SI1",62.3,58,1693,5.26,5.2,3.26
1,"Very Good","G","VS2",62.8,62,6386,6.28,6.33,3.96
0.3,"Very Good","G","VS2",60.6,60,526,4.3,4.34,2.62
0.31,"Ideal","G","SI1",61.2,55,446,4.37,4.39,2.68
0.32,"Ideal","J","IF",62.2,55,684,4.44,4.4,2.75
0.4,"Premium","E","SI1",60.1,59,945,4.82,4.76,2.88
1.01,"Good","E","VVS2",63.9,58,8415,6.31,6.37,4.05
1.2,"Premium","G","VS2",62.4,59,7405,6.74,6.68,4.19
1.52,"Ideal","G","SI1",60.7,57,9530,7.38,7.41,4.49
0.3,"Very Good","H","SI1",62.2,60,421,4.24,4.28,2.65
0.42,"Premium","E","SI1",61.2,60,873,4.86,4.81,2.96
1.25,"Very Good","I","SI1",58.9,58,5500,7.04,7.08,4.16
0.51,"Very Good","F","SI1",62.9,56,1308,5.05,5.1,3.19
0.53,"Premium","F","VS2",60.6,55,1753,5.26,5.23,3.18
1.34,"Ideal","H","IF",60.9,57,11109,7.09,7.19,4.35
0.83,"Very Good","E","SI2",58,62,2799,6.19,6.25,3.61
0.23,"Very Good","D","VVS2",58.9,60,549,4.03,3.95,2.35
1.51,"Very Good","D","SI2",59.7,58,9627,7.43,7.48,4.45
0.42,"Ideal","F","VVS2",62.1,55,1221,4.81,4.79,2.98
2,"Fair","H","SI1",65.1,56,14430,7.86,7.77,5.09
1.7,"Ideal","E","SI2",59.6,59,11924,7.73,7.83,4.64
0.33,"Very Good","I","VVS2",61.6,57,552,4.43,4.45,2.73
1.25,"Ideal","E","I1",60.9,56,3276,6.95,6.91,4.22
0.26,"Very Good","E","VS1",60.7,59,453,4.09,4.12,2.49
1.21,"Ideal","H","VS2",62.9,55,7562,6.8,6.75,4.26
0.81,"Ideal","I","VS2",61.8,56,2939,6.02,5.99,3.71
0.72,"Ideal","D","SI2",62.3,57,2457,5.8,5.75,3.6
0.43,"Very Good","G","VVS1",61.3,57,1207,4.85,4.87,2.98
0.31,"Ideal","D","VS2",62.5,56,942,4.32,4.29,2.69
1.02,"Premium","F","I1",59.6,59,2452,6.51,6.45,3.87
0.31,"Ideal","F","IF",62.2,55,921,4.35,4.38,2.71
0.87,"Very Good","F","SI2",61,63,2851,6.22,6.07,3.75
0.34,"Premium","F","SI1",59.4,62,727,4.59,4.54,2.71
0.28,"Very Good","E","VVS2",63.6,56,596,4.13,4.17,2.64
0.35,"Ideal","H","VVS1",62,53.9,743,4.5,4.53,2.8
0.3,"Ideal","F","VS1",61.4,56,658,4.33,4.37,2.67
1.56,"Ideal","G","VS2",62.3,53,13787,7.41,7.49,4.64
1.22,"Ideal","I","SI1",62.1,56,5329,6.83,6.79,4.23
1.35,"Fair","I","VS2",61.6,62,7182,7.15,7.1,4.39
1.23,"Very Good","I","VS2",59.7,58,5789,6.94,7.02,4.17
1.14,"Ideal","F","SI2",61.7,56,4591,6.71,6.67,4.13
0.32,"Very Good","D","VS2",61.8,57,758,4.35,4.36,2.69
0.78,"Premium","F","SI1",60.8,60,2826,5.97,5.94,3.62
0.78,"Ideal","G","SI2",61.7,55,2246,5.92,5.88,3.64
1.82,"Premium","I","VS1",61.4,60,13939,7.83,7.8,4.8
1.56,"Ideal","F","SI1",61.2,57,11148,7.52,7.48,4.59
2.01,"Fair","E","SI2",62.1,66,14948,7.99,7.92,4.94
0.26,"Premium","H","VVS1",59.8,59,468,4.12,4.17,2.48
0.32,"Premium","G","SI2",61,59,540,4.42,4.36,2.68
0.71,"Fair","J","VS2",64.4,56,1826,5.64,5.6,3.62
0.51,"Ideal","D","VS1",60.9,57,1845,5.2,5.17,3.16
0.41,"Very Good","I","VVS1",63.5,58,845,4.7,4.75,3
0.4,"Premium","H","VS2",59.1,61,945,4.84,4.81,2.85
0.56,"Premium","E","VS2",61.1,57,1864,5.38,5.33,3.27
1.01,"Very Good","I","VS1",62.2,60,4756,6.39,6.35,3.96
0.32,"Ideal","F","VS2",62.5,56,828,4.38,4.36,2.73
0.71,"Ideal","F","VS1",61.5,56,3710,5.72,5.76,3.53
1.73,"Very Good","H","VS2",59.2,61,13102,7.78,7.82,4.62
0.44,"Premium","I","VVS1",61.5,58,990,4.95,4.87,3.02
0.72,"Premium","F","VS1",58.8,60,2838,5.91,5.89,3.47
1.08,"Premium","G","SI2",59.8,57,4318,6.72,6.66,4
1.12,"Good","I","SI2",64.3,60,3838,6.59,6.56,4.23
0.38,"Ideal","E","VVS2",62.2,56,1100,4.58,4.65,2.87
0.63,"Very Good","D","SI1",63.1,58,2211,5.49,5.44,3.45
0.32,"Very Good","D","VS2",62.5,57,758,4.34,4.39,2.73
0.35,"Very Good","G","IF",60.5,56,1001,4.56,4.6,2.77
1.1,"Ideal","G","SI1",62.3,56,5226,6.64,6.58,4.12
1.51,"Premium","J","VS2",60.2,59,7553,7.36,7.35,4.43
1.5,"Ideal","G","SI2",63,57,6720,7.31,7.2,4.57
0.3,"Ideal","D","VS1",61.1,57,885,4.34,4.37,2.66
0.4,"Good","D","SI1",60.3,61,667,4.74,4.78,2.87
0.92,"Very Good","H","VS2",63.1,57,4173,6.2,6.17,3.9
0.3,"Good","H","VVS2",63.1,60,605,4.24,4.28,2.69
1.51,"Good","I","SI1",63.7,61,8097,7.11,7.15,4.54
2,"Ideal","I","SI1",62.8,56,15043,8.04,7.95,5.02
0.4,"Very Good","E","SI1",63,57,687,4.65,4.68,2.94
1.02,"Ideal","D","SI1",61.3,56,6157,6.48,6.53,3.99
1.02,"Good","F","VS1",63.7,57,7197,6.39,6.35,4.06
0.57,"Good","F","VS1",58.3,61,1741,5.49,5.54,3.21
0.32,"Ideal","G","VS1",61.9,55,645,4.39,4.43,2.73
0.34,"Ideal","I","IF",61.9,55,695,4.5,4.52,2.79
1.01,"Premium","F","SI1",59.8,60,5249,6.53,6.57,3.92
0.71,"Good","G","VS2",64.2,58,2599,5.59,5.62,3.6
0.32,"Ideal","E","VVS2",61.3,54,779,4.42,4.45,2.72
1.06,"Ideal","F","VS2",62.1,55,7334,6.52,6.55,4.06
1.52,"Ideal","H","VS2",60.7,56,11206,7.49,7.41,4.52
1,"Premium","H","SI1",62.7,60,4469,6.3,6.24,3.93
1.63,"Ideal","I","VS2",61.8,56,11963,7.56,7.59,4.68
0.6,"Very Good","D","SI1",62.2,58,1750,5.4,5.44,3.37
0.76,"Ideal","E","SI1",61.7,57,2949,5.84,5.89,3.62
1.08,"Premium","D","VS2",61.2,60,7824,6.63,6.61,4.05
1.19,"Good","I","SI1",63.7,57.2,5236,6.69,6.73,4.28
0.31,"Very Good","E","SI2",60.8,61,435,4.39,4.43,2.68
0.31,"Ideal","I","SI1",62.7,56,408,4.3,4.34,2.71
0.3,"Premium","E","VVS2",60.1,59,789,4.32,4.37,2.61
